Timestamp,LUX,LDR,Vo,Vi,LED
1001072,0.0,10,0.0,0.0,0
1002860,0.0,10,0.0,0.0,0
1004692,0.0,10,0.0,0.0,0
1006512,0.0,10,0.0,0.0,0
1008320,0.0,10,0.0,0.0,0
1010148,0.0,10,0.0,0.0,0
1011968,0.0,10,0.0,0.0,0
1013796,0.0,10,0.0,0.0,0
1015616,0.0,10,0.0,0.0,0
1017444,0.0,10,0.0,0.0,0
1019268,0.0,10,0.0,0.0,0
1021108,0.0,10,0.0,2.5,128
1023292,0.1,43,0.2,2.5,128
1025696,1.1,166,0.8,2.5,128
1028164,3.9,308,1.5,2.5,128
1030644,8.8,427,2.1,2.5,128
1033092,15.5,518,2.5,2.5,128
1035672,23.5,585,2.9,2.5,128
1038192,30.5,626,3.1,2.5,128
1040752,36.0,651,3.2,2.5,128
1043300,41.0,670,3.3,2.5,128
1045852,45.1,684,3.3,2.5,128
1048408,47.7,692,3.4,2.5,128
1050956,49.1,696,3.4,2.5,128
1053504,50.9,701,3.4,2.5,128
1056060,53.1,707,3.5,2.5,128
1058608,54.3,710,3.5,2.5,128
1061156,54.3,710,3.5,2.5,128
1063700,55.5,713,3.5,2.5,128
1066264,56.7,716,3.5,2.5,128
1068804,57.2,717,3.5,2.5,128
1071356,57.2,717,3.5,2.5,128
1073904,57.6,718,3.5,2.5,128
1076464,58.9,721,3.5,2.5,128
1079012,58.9,721,3.5,2.5,128
1081560,58.9,721,3.5,2.5,128
1084108,59.3,722,3.5,2.5,128
1086660,60.2,724,3.5,2.5,128
1089208,60.2,724,3.5,2.5,128
1091756,59.8,723,3.5,2.5,128
1094308,60.2,724,3.5,2.5,128
1096860,61.1,726,3.5,2.5,128
1099412,61.1,726,3.5,2.5,128
1101948,60.7,725,3.5,2.5,128
1104508,61.1,726,3.5,2.5,128
1107064,62.1,728,3.6,2.5,128
1109604,61.6,727,3.6,2.5,128
1112156,61.1,726,3.5,2.5,128
1114700,61.6,727,3.6,2.5,128
1117264,62.1,728,3.6,2.5,128
1119816,62.1,728,3.6,2.5,128
1122348,61.6,727,3.6,2.5,128
1124912,62.1,728,3.6,2.5,128
1127464,62.5,729,3.6,2.5,128
1130012,62.5,729,3.6,2.5,128
1132560,62.1,728,3.6,2.5,128
1135112,62.1,728,3.6,2.5,128
1137660,63.0,730,3.6,2.5,128
1140216,63.0,730,3.6,2.5,128
1142752,62.5,729,3.6,2.5,128
1145308,62.5,729,3.6,2.5,128
1147860,63.0,730,3.6,2.5,128
1150416,63.0,730,3.6,2.5,128
1152952,62.5,729,3.6,2.5,128
1155512,63.0,730,3.6,2.5,128
1158056,63.5,731,3.6,2.5,128
1160616,63.0,730,3.6,2.5,128
1163152,62.5,729,3.6,2.5,128
1165712,63.0,730,3.6,2.5,128
1168256,63.5,731,3.6,2.5,128
1170816,63.5,731,3.6,2.5,128
1173356,63.0,730,3.6,2.5,128
1175912,63.5,731,3.6,2.5,128
1178456,64.0,732,3.6,2.5,128
1181016,64.0,732,3.6,2.5,128
1183556,63.0,730,3.6,2.5,128
1186112,63.0,730,3.6,2.5,128
1188656,64.0,732,3.6,2.5,128
1191216,63.5,731,3.6,2.5,128
1193756,63.0,730,3.6,2.5,128
1196312,63.5,731,3.6,2.5,128
1198856,64.0,732,3.6,2.5,128
1201416,64.0,732,3.6,2.5,128
1203952,63.5,731,3.6,2.5,128
1206512,64.0,732,3.6,2.5,128
1209056,64.0,732,3.6,2.5,128
1211616,64.0,732,3.6,2.5,128
1214152,63.5,731,3.6,2.5,128
1216712,63.5,731,3.6,2.5,128
1219264,64.5,733,3.6,2.5,128
1221820,64.5,733,3.6,2.5,128
1224360,63.5,731,3.6,2.5,128
1226912,64.0,732,3.6,2.5,128
1229468,64.5,733,3.6,2.5,128
1232020,64.5,733,3.6,2.5,128
1234560,63.5,731,3.6,2.5,128
1237112,64.0,732,3.6,2.5,128
1239668,64.5,733,3.6,2.5,128
1242220,64.5,733,3.6,2.5,128
1244760,64.0,732,3.6,2.5,128
1247312,64.0,732,3.6,2.5,128
1249872,64.9,734,3.6,2.5,128
1252420,64.5,733,3.6,2.5,128
1254960,64.0,732,3.6,2.5,128
1257512,64.0,732,3.6,2.5,128
1260072,64.9,734,3.6,2.5,128
1262620,64.5,733,3.6,2.5,128
1265160,64.0,732,3.6,2.5,128
1267704,64.0,732,3.6,2.5,128
1270268,64.5,733,3.6,2.5,128
1272816,64.5,733,3.6,2.5,128
1275360,64.0,732,3.6,2.5,128
1277904,64.0,732,3.6,2.5,128
1280472,64.9,734,3.6,2.5,128
1283020,64.9,734,3.6,2.5,128
1285560,64.0,732,3.6,2.5,128
1288112,64.5,733,3.6,2.5,128
1290672,64.9,734,3.6,2.5,128
1293220,64.9,734,3.6,2.5,128
1295760,64.0,732,3.6,2.5,128
1298304,64.0,732,3.6,2.5,128
1300872,64.9,734,3.6,2.5,128
1303420,64.9,734,3.6,2.5,128
1305960,64.0,732,3.6,2.5,128
1308512,64.5,733,3.6,2.5,128
1311072,64.9,734,3.6,2.5,128
1313620,64.9,734,3.6,2.5,128
1316160,64.0,732,3.6,2.5,128
1318712,64.5,733,3.6,2.5,128
1321272,64.9,734,3.6,2.5,128
1323820,64.9,734,3.6,2.5,128
1326360,64.0,732,3.6,2.5,128
1328904,64.0,732,3.6,2.5,128
1331472,64.9,734,3.6,2.5,128
1334020,64.9,734,3.6,2.5,128
1336560,64.0,732,3.6,2.5,128
1339112,64.5,733,3.6,2.5,128
1341676,65.4,735,3.6,2.5,128
1344220,64.9,734,3.6,2.5,128
1346760,64.0,732,3.6,2.5,128
1349312,64.5,733,3.6,2.5,128
1351872,64.9,734,3.6,2.5,128
1354424,64.9,734,3.6,2.5,128
1356960,64.0,732,3.6,2.5,128
1359516,64.5,733,3.6,2.5,128
1362072,64.9,734,3.6,2.5,128
1364624,64.9,734,3.6,2.5,128
1367164,64.5,733,3.6,2.5,128
1369716,64.5,733,3.6,2.5,128
1372272,64.9,734,3.6,2.5,128
1374824,64.9,734,3.6,2.5,128
1377360,64.0,732,3.6,2.5,128
1379920,64.9,734,3.6,2.5,128
1382476,65.4,735,3.6,2.5,128
1385024,64.9,734,3.6,2.5,128
1387560,64.0,732,3.6,2.5,128
1390116,64.5,733,3.6,2.5,128
1392676,65.4,735,3.6,2.5,128
1395224,64.9,734,3.6,2.5,128
1397764,64.5,733,3.6,2.5,128
1400316,64.5,733,3.6,2.5,128
1402868,65.4,735,3.6,2.5,128
1405424,64.9,734,3.6,2.5,128
1407960,64.5,733,3.6,2.5,128
1410516,64.5,733,3.6,2.5,128
1413068,64.9,734,3.6,2.5,128
1415624,64.9,734,3.6,2.5,128
1418160,64.5,733,3.6,2.5,128
